MODELO;SERIAL ;UBICACION;INCIDENTE ;FECHA DE SOLICITUD;O.S;FECHA DE SERVICIO;TRABAJO REALIZADO POR ST - OBSERVACIONES;UBICACION;RESPONSABLE
M3655IDN;R4P8916488;FACULTAD DE DERECHO;RUIDO;7/10/2025;OS 4244690;7/10/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13677;SECRETARIA GENERAL;RUIDO;7/10/2025;OS 4245134;8/10/2025;RUIDO;PAMPALINDA;CAMACHO
MA5500IFX;WDS3X13727;GESTION TECNOLOGICA;MANCHAS IMPRESION;7/11/2025;OS 4245374;7/11/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500IFX;WDS3X13742;VICE-ACADEMICA;RUIDO;7/11/2025;OS 4245386;15/07/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500IFX;WDS3X13675;RECEPCION GESTION HUMANA;MANCHAS IMPRESION;14/07/2025;OS 4247678;15/07/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53787;GESTION HUMANA;LIMPIEZA  ;14/07/2025;OS 4247690;15/07/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3145idn;R4V8802486;REVISORIA FISCAL;MANCHAS EN IMP;17/07/2025;OS 4250848;18/07/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3145idn;R4V8802451;COMUNICACION Y PRENSA;RUIDO ;17/07/2025;OS 4250850;18/07/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3655IDN;R4P8916186;FACULTAD CIENCIAS ECONOMICAS;RAYAS IMPRESION;17/07/2025;OS  4250980;18/07/2025;LIMPIEZA  Y REPUESTOS;PAMPALINDA;CAMACHO
M3145IDN;R4V8802495;CELOA;RAYAS IMPRESION;18/07/2025;OS 4251790;18/07/2025;ATASCO Y LIMPIEZA;PAMPALINDA;CAMACHO
M3145IDN;R4V8802391;CLINICA VETERINARIA;RUIDO ;23/07/2025;OS 4255196;23/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045dn;VM38Z27751;CLINICA VETERINARIA;LIMPIEZA  ;23/07/2025;OS 4255202;23/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045dn;VM38Z28084;CLINICA VETERINARIA;LIMPIEZA  ;23/07/2025;OS 4255208;23/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
