MODELO;SERIAL ;UBICACION;INCIDENTE ;FECHA DE SOLICITUD;O.S;FECHA DE SERVICIO;TRABAJO REALIZADO POR ST - OBSERVACIONES;UBICACION;RESPONSABLE
M3145idn;R4V8802418;Financiero;LIMPIEZA Y MANTENIM.;5/03/2026;PREVENTIVO;5/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;USUARIO
MA5500ifx;WDS3X13730;Registro y Control Académico;LIMPIEZA Y MANTENIM.;5/03/2026;PREVENTIVO;5/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;USUARIO
MA5500ifx;WDS3X13493;Administración de Empresas;LIMPIEZA Y MANTENIM.;5/03/2026;PREVENTIVO;5/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;USUARIO
P3155dn;R4A2X53353;Programa de derecho;LIMPIEZA Y MANTENIM.;5/03/2026;PREVENTIVO;5/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;USUARIO
MA5500ifx;WDS3X13495;Programas de Salud;LIMPIEZA Y MANTENIM.;5/03/2026;PREVENTIVO;5/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;USUARIO
FI-7260 ;A3RDC08113;ARCHIVO GESTION HUMANA;CONFIGURACION;5/03/2026;OS 4450138;10/03/2026;CONFIGURACION;PAMPALINDA;CAMACHO
M3145idn;R4V8802419;TIENDA SANTIAGUINA PALMIRA ;ESCANEO A CARPETA ;9/03/2026;OS 4452816;10/03/2026;CONFIGURACION;USC PALMIRA;CAMACHO
P3045dn;VM38Z28186;DIRECTOR SECCIONAL;RAYAS EN IMPRESION;9/03/2026;OS 4453348;10/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;CAMACHO
P3045dn;VM38Z28179;CENTRO CONCILIACION ;ATASCO FRECUENTE;9/03/2026;OS 4453350;10/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;CAMACHO
M3145IDN;R4V8802397;CENTRO CONCILIACION;ATASCO Y MANCHAS ;9/03/2026;OS 4453352;10/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;CAMACHO
P3045dn;VM38Z28177;BIENESTAR UNIVERSITARIO;RUIDO AL IMPRIMIR;9/03/2026;OS 4453354;10/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;CAMACHO
P3045dn;VM38Z28183;TECNICO LABORALES;ATASCO Y MANCHAS ;9/03/2026;OS 4453356;10/03/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;CAMACHO
P3045dn;VM38Z27976;RECEPCION BIBLIOTECA;RUIDO ;18/03/2026;OS 4462116;18/03/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
M3145idn;R4V8802390;BIBLIOTECA ENTRADA;ATASCO FRECUENTE;18/03/2026;OS 4462172;18/03/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
M3145idn;R4V8802384;ARCHIVO REGISTRO CONTROL;LIMPIEZA Y MANTENIMIEN;18/03/2026;OS 4463072;18/03/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
M3655idn;R4P8916502;ASEGURAMIENTO DE LA CALIDAD;RUIDO ;21/03/2026;OS 4465008;26/03/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13724;VICERRECTORIA ADMINISTRATIVA;LIMPIEZA Y MANTENIMIEN;13/04/2026;OS 4480892;13/04/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
M3655idn;R4P8916293;SALA DE PROFESORES;ATASCO FRECUENTE;13/04/2026;OS 4480898;13/04/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
M3145idn;R4V8802391;CLINICA VETERINARIA RECEPCION;CONFIGURACION;13/04/2026;OS 4480902;13/04/2026;LIMPIEZA Y MANTENIMIENTO;CLINICA VETERINARIA;JESÚS
P3155dn;R4A2X53344;DIRECCIÓN DE EXTENSIÓN UNIVERSITARIA;CONFIGURACION;14/04/2026;OS 4482306;15/04/2026;LIMPIEZA Y MANTENIMIENTO;CENTRO;JESÚS
P3045dn;VM38Z27867;JURIDICO;CONFIGURACION;14/04/2026;OS 4482312;15/04/2026;LIMPIEZA Y MANTENIMIENTO;CENTRO;JESÚS
MA5500IFX;WDS3X13746;CONSULTORIO JURÍDICO;ATASCO FRECUENTE;15/04/2026;OS 4483988;15/04/2026;LIMPIEZA Y MANTENIMIENTO;CENTRO;JESÚS
FS-P3045;VM38Z28192;CONSULTORIO JURÍDICO 2;CONFIGURACION;15/04/2026;OS 4484188;15/04/2026;LIMPIEZA Y MANTENIMIENTO;CENTRO;JESÚS
MA5500ifx;WDS3X13415;DGI;ATASCO EN CASETERA ;20/04/2026;OS 4487954;21/04/2026;LIMPIEZA - CAUCHOS ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53787;GESTION_HUMANA_B3P1;MANCHAS EN IMP;20/04/2026;OS 4487956;21/04/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
FS-M3145;R4V8802420;DIRECCION GENERAL DE EXTENSION ;ATASCO FRECUENTE;21/04/2026;OS 4488908;21/04/2026;LIMPIEZA Y MANTENIMIENTO;USC CENTRO;JESÚS
MA5500IFX;WDS3X13750;CENTRO DE CONCILIACIÓN Y ARBITRAJE;ATASCO FRECUENTE;21/04/2026;OS 4489002;21/04/2026;LIMPIEZA Y MANTENIMIENTO;USC CENTRO;JESÚS
P3045dn;VM38Z28086 ;RESTAURANTE SANCARLO;MANCHAS EN LA IMP.;22/04/2026;OS 4489686;23/04/2026;LIMPIEZA Y MANTENIMIENTO;BARRIO EL PEÑON ;JESÚS
MA5500ifx;WDS3X13724;VICERRECTORIA ADMINISTRATIVA;ATASCO FRECUENTE;27/04/2026;OS 4492648;28/04/2026;SENSOR SUELTO;PAMPALINDA;CAMACHO
M3655idn;R4P8916485;FACULTAD DE EDUCACION;RAYAS EN IMPRESION;4/05/2026;OS 4496822;5/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3655idn;R4P8916497;FACULTAD DE INGENIERIA ;MANCHAS EN IMPRESION;4/05/2026;OS 4496828;7/05/2026;CILINDRO ;PAMPALINDA;CAMACHO
P3045dn;VM38Z28191;CORRESPONDENCIA;RUIDO AL IMPRIMIR;4/05/2026;OS 4496832;8/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
FI-7260 ;A3MAC41807;TIENDA SANTIAGUINA;CONFIGURACION;4/05/2026;OS 4496834;5/05/2026;CONFIGURACION;PAMPALINDA;CAMACHO
M3145IDN;R4V8802391;CLINICA VETERINARIA;FALLO UNIDAD SECUNDARIA;4/05/2026;OS 4497786;4/05/2026;TOMA CORRIENTE CON VOLTAGE ALTO ;CRISTOBAL COLON;CAMACHO
M3145idn;R4V8802390;BIBLIOTECA ENTRADA;MANCHAS EN IMP;4/05/2026;OS 4497752;5/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
M3145idn;R4V8802381;DIR. BIENENESTAR UNIVERSITARIO;RAYAS EN IMPRESION;11/05/2026;OS 4504164;12/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
M3145idn;R4V8802448;SERVICIO MEDICO;RAYAS IMPRESION;11/05/2026;OS 4504166;12/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
P3155dn;R4A2X53608;RECREACION_DEPORTE;PUNTOS EN IMPRESION ;11/05/2026;OS 4504170;12/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
P3045dn;VM38Z27960;COORDINACION AMBIENTAL;RUIDO AL IMPRIMIR;11/05/2026;OS 4504172;13/05/2026;CAMBIO UNIDAD FUSORA;PAMPALINDA;CAMACHO
M3655idn;R4P8916296;REGISTRO Y CONTROL  ;RAYAS EN IMPRESION;12/05/2026;OS 4505946;13/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
M3145idn;R4V8802447;UNIDAD MERCADEO B7-P3;MANCHAS IMPRESION;14/05/2026;OS 4507540;14/05/2026;CAMBIO UNIDAD  FUSORA;PAMPALINDA;CAMACHO
M3655idn;R4P8916502;ASEGURAMIENTO CALIDAD;RAYAS EN IMPRESION;14/05/2026;OS 4507546;14/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500IFX;WDS3X13727;GESTION TECNOLOGICA;RUIDO;14/05/2026;OS 4507548;14/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3655idn;R4P8916180;FACULTAD CIENCIAS BASICAS;RAYAS EN IMPRESION;14/05/2026;OS 4507790;14/05/2026;CAMBIO UNIDAD CILINDRO;PAMPALINDA;CAMACHO
M3145idn;R4V8802384;ARCHIVO REGISTRO Y CONTROL;MANCHAS IMPRESION;25/05/2026;OS 4515470;28/05/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
FI-7260 ;A3RDC08113;ARCHIVO GESTION HUMANA;CONFIGURACION;28/05/2026;OS 4518254;28/05/2026;CONFIGURACION;PAMPALINDA;JESÚS
M3145 IDN;R4V8802430;EDUCACION CONTINUADA PISO 2;MANCHAS EN IMPRESION;28/05/2026;OS 4518260;29/05/2026;LIMPIEZA Y MANTENIMIENTO;CENTRO;JESÚS
M3145idn;R4V8802420;EXTENSION  CENTRO;CONFIGURACION;3/06/2026;OS 4523306;3/06/2026;CONFIGURACION;CENTRO;JESÚS
M3145idn;R4V8802422;UNIDAD MERCADEO PALMIRA;ATASCO Y MANCHAS;9/06/2026;OS 4526206;10/06/2026;LIMPIEZA Y MANTENIMIENTO;USC PALMIRA;CAMACHO
M3145idn;R4V8802454;AUDITORIA INTERNA;MANCHAS EN IMPRESION;12/06/2026;OS 4530366;16/06/2026;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESÚS
